Waypoint Name,Waypoint Type,Latitude,Longitude,Frequency
SMA,DB,62.0594,-163.282,23
SPY,DB,57.157,-170.233,31.4
SQM,DB,56.4646,-133.097,52.9
SRI,DB,56.5719,-169.648,39.9
SYA,DB,52.722,174.06,40.3
TNC,DB,65.5617,-167.925,34.7
TOG,DB,59.0639,-160.376,39.3
UKK,DB,70.6376,-160.009,33.8
UQS,DB,70.2122,-151.001,24.1
UTO,DB,65.9952,-153.694,27.2
VIR,DB,71.2823,-156.781,28.1
VTR,DB,62.9469,-155.557,35
WC,DB,49.0033,-122.75,33.2
XX,DB,49.0154,-122.488,34.4
YAZ,DB,49.0468,-125.704,35.9
YCD,DB,49.1279,-123.872,25.1
YEL,DB,46.3717,-82.6283,27.6
YHD,DB,49.8644,-92.849,41.3
YJ,DB,48.6443,-123.399,20
YOC,DB,67.5712,-139.846,28.4
YXL,DB,50.1181,-91.8978,34.6
YXQ,DB,62.4042,-140.862,23.9
ZP,DB,53.1961,-131.777,36.8
ZR,DB,42.9406,-82.2335,40.4
ZT,DB,50.6994,-127.426,24.2
AAMYY,EAENRT,51.5052,171.153,-999
ACADE,EAENRT,69.0799,-165.791,-999
ACATE,EAENRT,59.7141,-162.553,-999
ACIGE,EAENRT,60.4398,-151.769,-999
ACRAN,EAENRT,61.0724,-156.491,-999
ADLEN,EAENRT,64.773,-169.782,-999
ADMRL,EAENRT,58.1859,-134.656,-999
ADREW,EAENRT,69.1697,-141.003,-999
ADTOQ,EAENRT,70.3998,-150.727,-999
ADVIK,EAENRT,45.1344,-74.7758,-999
AFEDI,EAENRT,68.5486,-149.553,-999
AFWAF,EAENRT,59.8905,-151.406,-999
AGBUT,EAENRT,44.748,-79.7787,-999
AGDOX,EAENRT,43.2843,-79.1044,-999
AGEPE,EAENRT,62.2811,-163.642,-999
AGESE,EAENRT,55.5456,-132.043,-999
AGIGE,EAENRT,58.323,-135.518,-999
AGMIV,EAENRT,61.7561,-166.091,-999
AGPAL,EAENRT,54.5265,-130.798,-999
AGUCI,EAENRT,59.2062,-135.477,-999
AHFAX,EAENRT,68.0814,-162.848,-999
AHVUH,EAENRT,64.4196,-156.558,-999
AICAP,EAENRT,61.1744,-149.996,-999
AIDIN,EAENRT,58.1708,-134.485,-999
AKBOY,EAENRT,60.2883,-145.288,-999
AKELT,EAENRT,62.0155,-165.094,-999
AKERE,EAENRT,70.1113,-146.497,-999
AKGAS,EAENRT,61.0093,-154.692,-999
AKHAT,EAENRT,57.025,-136.137,-999
AKHOG,EAENRT,56.8939,-136.362,-999
AKKID,EAENRT,58.9407,-140.323,-999
AKRAW,EAENRT,61.2309,-145.584,-999
AKSEA,EAENRT,54.5277,-131.612,-999
AKTEX,EAENRT,56.5,-132,-999
AKTIE,EAENRT,64.6667,-155.5,-999
AKUMY,EAENRT,67.9078,-152.583,-999
AKUXE,EAENRT,70.3257,-149.67,-999
AKWAY,EAENRT,54.5137,-132.035,-999
AKZOO,EAENRT,60.1472,-145.483,-999
ALATY,EAENRT,59.4213,-138.241,-999
ALDOZ,EAENRT,55.193,-178.537,-999
ALEUT,EAENRT,54.2379,-166.548,-999
ALIEN,EAENRT,59.6852,-164.682,-999
ALMOT,EAENRT,63.4509,-161.804,-999
ALNOK,EAENRT,61.2912,-149.812,-999
ALONI,EAENRT,44.6483,-75.6528,-999
ALTEW,EAENRT,63.5507,-144.838,-999
ALTEY,EAENRT,59.5801,-160.052,-999
ALUFF,EAENRT,56.4402,-173.627,-999
ALUKE,EAENRT,62.8067,-155.986,-999
ALUPE,EAENRT,59.8825,-154.651,-999
ALVID,EAENRT,43.9047,-76.6011,-999
ALYAN,EAENRT,63.786,-170.116,-999
AMOND,EAENRT,54.2271,178.303,-999
AMOTT,EAENRT,60.8741,-151.373,-999
AMTEE,EAENRT,64.5544,-153.511,-999
AMULE,EAENRT,64.418,-165.282,-999
ANESE,EAENRT,61.9625,-162.444,-999
ANIAK,EAENRT,61.6173,-159.631,-999
ANNAH,EAENRT,55.0604,-131.578,-999
ANTLR,EAENRT,49.0737,-122.234,-999
ANTOV,EAENRT,45.3764,-71.0375,-999
ANWEX,EAENRT,64.334,-165.093,-999
APNEL,EAENRT,45.3498,-82.2284,-999
APUYO,EAENRT,64.4216,-164.695,-999
ARBEZ,EAENRT,69.9998,-146.253,-999
ARCAL,EAENRT,58.5,-150,-999
ARCON,EAENRT,69.9336,-148.422,-999
ARISE,EAENRT,60,-146.154,-999
ARORA,EAENRT,64.2679,-145.95,-999
AROXE,EAENRT,64.3726,-165.465,-999
AROYU,EAENRT,64.0171,-145.693,-999
ARRUE,EAENRT,49.0731,-124.13,-999
ARSEN,EAENRT,61.019,-163.102,-999
ARTIC,EAENRT,69.0205,-148.441,-999
ARUNY,EAENRT,64.3066,-147.137,-999
ASORT,EAENRT,58.3627,-135.821,-999
ASPIN,EAENRT,49.6989,166.217,-999
ATAGA,EAENRT,59.847,-142.615,-999
ATAGO,EAENRT,65.9753,-157.389,-999
ATAYI,EAENRT,65.2331,-167.085,-999
ATDAB,EAENRT,70.5109,-150.608,-999
ATENE,EAENRT,46.2344,-70.2725,-999
ATTNN,EAENRT,58.3188,-134.47,-999
ATYOL,EAENRT,60.7427,-148.721,-999
AUGEY,EAENRT,59.4697,-152.889,-999
AUTTO,EAENRT,42.5762,-82.3337,-999
AVUBA,EAENRT,63.1831,-167.829,-999
AWACO,EAENRT,69.9886,-148.832,-999
AWAMY,EAENRT,67.8389,-163.321,-999
AWOMY,EAENRT,59.8961,-154.318,-999
AXCUP,EAENRT,70.0393,-147.506,-999
AXOBU,EAENRT,42.9443,-82.3951,-999
AXSEM,EAENRT,65.0029,-146.729,-999
AXUTE,EAENRT,57.7625,-152.45,-999
AXXIS,EAENRT,42.8306,-81.9834,-999
AYAGI,EAENRT,62.7871,-155.987,-999
AYJAY,EAENRT,64.2086,-145.685,-999
AYKID,EAENRT,65.8493,-147.276,-999
AYZOL,EAENRT,62.4712,-141,-999
BACMY,EAENRT,65.5404,-146.133,-999
BADLE,EAENRT,58.2809,-134.935,-999
BAERE,EAENRT,52.2033,-176.136,-999
BAFIN,EAENRT,60.3271,-161.422,-999
BAILY,EAENRT,57.9094,-152.91,-999
BAIME,EAENRT,65.0768,-164.635,-999
BALDS,EAENRT,68.06,-162.864,-999
BALIN,EAENRT,66.5652,-161.576,-999
BANAT,EAENRT,62.2135,-165.667,-999
BANNE,EAENRT,54.0992,-130.638,-999
BARBR,EAENRT,42.3665,-82.8315,-999
BAREL,EAENRT,58.8141,-152.41,-999
BARLO,EAENRT,58.3605,-134.889,-999
BARRF,EAENRT,57.7985,-152.606,-999
BASSU,EAENRT,57.3563,-135.436,-999
BATAC,EAENRT,64.253,-145.677,-999
BATTY,EAENRT,59.0657,-155.078,-999
BAXTE,EAENRT,61.404,-149.796,-999
BAZME,EAENRT,52.596,173.295,-999
BBGVP,EAENRT,54.5828,-133.108,-999
BDRIK,EAENRT,61.3545,-150.994,-999
BEEHM,EAENRT,55.5945,-131.717,-999
BEETE,EAENRT,66.5599,-148.68,-999
BEEVE,EAENRT,56.3822,-132.432,-999
BEFTI,EAENRT,62.5578,-144.453,-999
BEMTE,EAENRT,64.4952,-165.329,-999
BEPOW,EAENRT,70.3131,-149.849,-999
BEPUP,EAENRT,46.7002,-82.5562,-999
BERGS,EAENRT,58.5193,-136.307,-999
BERJO,EAENRT,67.0578,-163,-999
BERNR,EAENRT,58.778,-135.156,-999
BETPE,EAENRT,62.3978,-154.442,-999
BETTR,EAENRT,58.2732,-134.381,-999
BETUN,EAENRT,61.3418,-149.871,-999
BEUTI,EAENRT,56.4765,-132.343,-999
BEYAR,EAENRT,63.9417,-147.75,-999
BEYAY,EAENRT,60.2962,-151.682,-999
BIBEM,EAENRT,62.6722,-141,-999
BIBNE,EAENRT,61.8157,-163.001,-999
BIJOU,EAENRT,66.2277,-145.847,-999
BILBE,EAENRT,56.2058,-166.113,-999
BIMRO,EAENRT,43.0281,-80.3167,-999
BINAL,EAENRT,55.7667,-161.999,-999
BIRDI,EAENRT,68.8868,-165.995,-999
BISAY,EAENRT,59.5196,-155.332,-999
BISHO,EAENRT,70.1768,-148.661,-999
BITOP,EAENRT,59.3057,-155.18,-999
BIXER,EAENRT,69.4522,-148.432,-999
BLAEK,EAENRT,62.7203,-143.945,-999
BLIGH,EAENRT,60.8472,-146.999,-999
BLNKK,EAENRT,61.2813,-149.971,-999
BLOGR,EAENRT,57.0754,-135.606,-999
BLOOK,EAENRT,56.7587,-132.983,-999
BLOWW,EAENRT,56.3234,-132.567,-999
BLSLE,EAENRT,58.2652,-134.365,-999
BLUEE,EAENRT,71.5,-160,-999
BLUGA,EAENRT,60.7641,-151.878,-999
BOBTU,EAENRT,44.1172,-52.8222,-999
BOCAA,EAENRT,55.1333,-130.667,-999
BODLE,EAENRT,61.1679,-149.828,-999
BOFIN,EAENRT,48.7178,-93.5278,-999
BOGAY,EAENRT,58.1354,-135.062,-999
BOGIE,EAENRT,64.3744,-146.846,-999
BOGSO,EAENRT,45.0258,-82.4315,-999
BOJAA,EAENRT,64.475,-147.662,-999
BOKMA,EAENRT,54.5196,-131.649,-999
BOLDT,EAENRT,70.1805,-148.621,-999
BONET,EAENRT,64.7101,-152.705,-999
BONKR,EAENRT,60.8706,-150.872,-999
BOOKU,EAENRT,58.3394,-134.502,-999
BOREH,EAENRT,62.0776,-162.926,-999
BOREK,EAENRT,42.9375,-79.9475,-999
BOSEP,EAENRT,43.1044,-82.0083,-999
BOTZO,EAENRT,59.4543,-139.553,-999
BOVJU,EAENRT,52.7255,173.926,-999
BRBAK,EAENRT,64.7652,-147.19,-999
BREMI,EAENRT,58.5484,-155.857,-999
BRIJE,EAENRT,60.4473,-145.304,-999
BRION,EAENRT,66.1608,-150.207,-999
BROIL,EAENRT,60.4887,-149.738,-999
BROKK,EAENRT,42.3314,-81.5819,-999
BRONX,EAENRT,70.069,-155.099,-999
BROUS,EAENRT,59.1419,-159.307,-999
BRWNZ,EAENRT,41.8525,-82.2133,-999
BRWWN,EAENRT,57.7015,-152.496,-999
BRYCI,EAENRT,62.6638,-155.636,-999
BSETT,EAENRT,57.1343,-135.586,-999
BUFLO,EAENRT,64.1704,-144.687,-999
BUGPE,EAENRT,59.1675,-158.986,-999
BUICK,EAENRT,48.8101,-123.135,-999
BURGH,EAENRT,64.798,-147.638,-999
BURMA,EAENRT,66.0188,-146.182,-999
BURPE,EAENRT,57.7656,-152.529,-999
BUSRR,EAENRT,61.1167,-155.167,-999
CABDU,EAENRT,70.2125,-148.268,-999
CABNN,EAENRT,58.773,-162.134,-999
CABOT,EAENRT,61.2004,-160.756,-999
CABRO,EAENRT,68.6191,-149.691,-999
CACCA,EAENRT,58.6373,-156.304,-999
CAKAD,EAENRT,61.374,-150.652,-999
CAKOK,EAENRT,59.0183,-159.167,-999
CALES,EAENRT,64.1948,-145.35,-999
CALOX,EAENRT,64.8404,-147.107,-999
CAMBO,EAENRT,55.5074,-169.174,-999
CAMOL,EAENRT,70.209,-148.307,-999
CAMRO,EAENRT,70.1668,-147.124,-999
CAMZO,EAENRT,48.7829,-123.536,-999
CANGU,EAENRT,64.4319,-165.514,-999
CANIL,EAENRT,60.5129,-151.081,-999
CAPED,EAENRT,61.2513,-149.807,-999
CAPEM,EAENRT,59.9279,-143.077,-999
CAPPO,EAENRT,61.217,-150.21,-999
CARIL,EAENRT,55.3624,-131.34,-999
CAROU,EAENRT,62.2978,-154.898,-999
CARTO,EAENRT,48.6757,168.783,-999
CASAC,EAENRT,66.1827,-160.479,-999
CASEL,EAENRT,60.3311,-145.298,-999
CAWIN,EAENRT,63.2809,-148.988,-999
CAYAK,EAENRT,58.4562,-135.762,-999
CAYON,EAENRT,60.3839,-160.746,-999
CAYPA,EAENRT,64.75,-148.25,-999
CBRIT,EAENRT,58.086,-134.204,-999
CCASE,EAENRT,56.717,-135.213,-999
CCCUT,EAENRT,58.3589,-134.633,-999
CCOLE,EAENRT,61.2469,-149.864,-999
CCUBB,EAENRT,58.2309,-134.294,-999
CEBUM,EAENRT,66.75,-145,-999
CECGU,EAENRT,70.2885,-151.161,-999
CECVA,EAENRT,64.1596,-165.099,-999
CEDOG,EAENRT,57.1865,-135.837,-999
CEDOL,EAENRT,51.3579,179.111,-999
CEDUN,EAENRT,70.4266,-152.038,-999
CEGEN,EAENRT,61.4284,-149.974,-999
CEKBA,EAENRT,58.9375,-159.226,-999
CELEX,EAENRT,70.2795,-150.315,-999
CENSE,EAENRT,65.5741,-155.201,-999
CENTA,EAENRT,59.0059,-138.803,-999
CENTZ,EAENRT,57.1103,-135.476,-999
CEPKU,EAENRT,55.1478,-131.644,-999
CERGU,EAENRT,61.3227,-159.191,-999
CESEP,EAENRT,56.6771,-132.57,-999
CETUX,EAENRT,61.2425,-149.916,-999
CEVDO,EAENRT,64.5927,-147.037,-999
CEVKA,EAENRT,70.3142,-145.853,-999
CEXEM,EAENRT,64.4687,-165.326,-999
CEXIX,EAENRT,61.5603,-151.296,-999
CFAKQ,EAENRT,66.8693,-162.834,-999
CFCHR,EAENRT,62.3252,-150.082,-999
CFDCF,EAENRT,58.2847,-134.585,-999
CFDFX,EAENRT,62.8855,-155.979,-999
CFDGN,EAENRT,64.4742,-165.501,-999
CFDHK,EAENRT,60.4842,-145.564,-999
CFDKM,EAENRT,58.2972,-134.574,-999
CFDKR,EAENRT,70.2904,-148.262,-999
CFDVK,EAENRT,57.7472,-152.478,-999
CFDWB,EAENRT,64.995,-150.651,-999
CFDZH,EAENRT,61.7699,-161.326,-999
CFFCC,EAENRT,62.8986,-160.072,-999
CFFJW,EAENRT,58.3619,-135.289,-999
CFFPH,EAENRT,57.5418,-157.585,-999
CFGCC,EAENRT,64.4695,-165.394,-999
CFGGN,EAENRT,57.0151,-135.396,-999
CFGKR,EAENRT,58.3194,-134.56,-999
CFGLB,EAENRT,64.4603,-165.446,-999
CFGWP,EAENRT,64.4863,-165.392,-999
CFHBC,EAENRT,64.6287,-165.511,-999
CFHDJ,EAENRT,64.5826,-165.544,-999
CFHDW,EAENRT,57.0748,-135.523,-999
CFHFF,EAENRT,58.3203,-134.617,-999
CFHJB,EAENRT,57.746,-152.581,-999
CFHLK,EAENRT,70.1459,-148.149,-999
CFHMV,EAENRT,70.2432,-148.781,-999
CFHND,EAENRT,70.099,-148.665,-999
CFHRL,EAENRT,56.8429,-132.868,-999
CFHRQ,EAENRT,56.7957,-132.838,-999
CFHSB,EAENRT,61.143,-149.905,-999
CFHSH,EAENRT,58.3286,-134.612,-999
CFHTD,EAENRT,59.4022,-139.603,-999
CFHTK,EAENRT,61.1098,-149.919,-999
CFHVN,EAENRT,61.1449,-149.91,-999
CFHWC,EAENRT,61.1115,-149.924,-999
CFJBC,EAENRT,58.3206,-134.616,-999
CFJJN,EAENRT,64.4932,-165.618,-999
CFJJR,EAENRT,64.5791,-165.155,-999
CFJNA,EAENRT,58.3137,-134.565,-999
CFJNB,EAENRT,58.9735,-133.156,-999
CFJNC,EAENRT,58.1929,-134.364,-999
CFJND,EAENRT,58.3209,-134.616,-999
CFJNE,EAENRT,58.323,-134.54,-999
CFJNF,EAENRT,58.466,-134.124,-999
CFJNH,EAENRT,58.3193,-134.617,-999
CFJNI,EAENRT,58.2502,-134.418,-999
CFJNJ,EAENRT,58.2883,-134.575,-999
CFJNW,EAENRT,58.1415,-134.314,-999
CFJRF,EAENRT,56.7559,-132.87,-999
CFJSH,EAENRT,57.8356,-152.533,-999
CFJVC,EAENRT,64.5107,-165.362,-999
CFJWX,EAENRT,56.7151,-132.823,-999
CFKJM,EAENRT,56.7771,-132.935,-999
CFKMW,EAENRT,58.6817,-162.069,-999
CFKPJ,EAENRT,61.7516,-166.074,-999
CFKRH,EAENRT,56.7144,-133.024,-999
CFKSL,EAENRT,56.7271,-133.037,-999
CFKTX,EAENRT,64.4688,-165.24,-999
CFKVB,EAENRT,68.0672,-162.773,-999
CFKVT,EAENRT,68.0596,-162.765,-999
CFKWM,EAENRT,60.4261,-145.608,-999
CFKZT,EAENRT,68.0556,-162.92,-999
CFLOO,EAENRT,64.5389,-165.285,-999
CFLOX,EAENRT,64.5425,-165.445,-999
CFMLX,EAENRT,67.9431,-162.93,-999
CFMXT,EAENRT,64.5262,-165.296,-999
CFNFR,EAENRT,60.469,-145.577,-999
CFNJX,EAENRT,57.8109,-152.548,-999
CFNKM,EAENRT,55.2737,-131.694,-999
CFNMN,EAENRT,65.6163,-168.092,-999
CFNQD,EAENRT,65.6303,-168.103,-999
CFODY,EAENRT,64.5345,-165.563,-999
CFOOL,EAENRT,64.6234,-165.342,-999
CFPRV,EAENRT,63.8728,-148.964,-999
CFPTE,EAENRT,66.8623,-162.651,-999
CFQBW,EAENRT,56.7767,-132.974,-999
CFQBZ,EAENRT,56.7746,-132.948,-999
CFQDL,EAENRT,66.8681,-162.814,-999
CFQGT,EAENRT,56.7174,-133.012,-999
CFQHT,EAENRT,60.4115,-145.342,-999
CFQPN,EAENRT,55.2793,-131.665,-999
CFQQG,EAENRT,55.2752,-131.709,-999
CFRCQ,EAENRT,62.9123,-155.953,-999
CFRKB,EAENRT,64.981,-150.644,-999
CFSOL,EAENRT,66.8498,-162.561,-999
CFSPD,EAENRT,55.4372,-131.998,-999
CFSSQ,EAENRT,66.8718,-162.809,-999
CFSXT,EAENRT,68.0764,-162.782,-999
CFTJN,EAENRT,66.8263,-162.395,-999
CFTLN,EAENRT,66.8291,-162.403,-999
CFTPE,EAENRT,66.832,-162.381,-999
CFTRX,EAENRT,59.0567,-160.388,-999
CFVGG,EAENRT,55.3203,-160.524,-999
CFVSJ,EAENRT,59.049,-160.407,-999
CFVTY,EAENRT,66.851,-162.657,-999
CFVWB,EAENRT,55.196,-162.709,-999
CFWAS,EAENRT,56.5005,-132.332,-999
CFWBN,EAENRT,56.4253,-132.304,-999
CFWBV,EAENRT,56.3963,-132.355,-999
CFWCV,EAENRT,56.4538,-132.432,-999
CFWDF,EAENRT,56.2871,-132.245,-999
CFWDX,EAENRT,57.6835,-152.379,-999
CFWFG,EAENRT,56.3691,-132.496,-999
CFWGH,EAENRT,56.476,-132.459,-999
CFWGV,EAENRT,68.055,-162.937,-999
CFWHJ,EAENRT,56.5363,-132.33,-999
CFWIO,EAENRT,56.5155,-132.318,-999
CFWJV,EAENRT,55.1561,-131.73,-999
CFWKL,EAENRT,57.0089,-135.356,-999
CFWNB,EAENRT,57.0811,-135.53,-999
CFWOP,EAENRT,57.022,-135.466,-999
CFWQH,EAENRT,51.9186,-176.731,-999
CFWQW,EAENRT,57.0118,-135.379,-999
CFWRR,EAENRT,61.1448,-149.905,-999
CFWRT,EAENRT,57.7174,-152.46,-999
CFWSD,EAENRT,57.0271,-135.411,-999
CFWTY,EAENRT,57.7344,-152.439,-999
CFWUI,EAENRT,56.8949,-135.304,-999
CFWVB,EAENRT,58.2016,-134.408,-999
CFWVC,EAENRT,58.3279,-134.533,-999
CFWWD,EAENRT,51.9387,-176.731,-999
CFWYU,EAENRT,57.016,-135.391,-999
CFXDX,EAENRT,64.4295,-165.377,-999
CFXNV,EAENRT,71.2265,-157.048,-999
CFXQC,EAENRT,51.9337,-176.735,-999
CFXTP,EAENRT,51.8949,-176.752,-999
CFXWL,EAENRT,57.7348,-152.348,-999
CFXWT,EAENRT,51.8428,-176.652,-999
CFXZH,EAENRT,71.2266,-156.487,-999
CFXZW,EAENRT,57.7237,-152.341,-999
CFZCZ,EAENRT,57.7847,-152.478,-999
CFZDR,EAENRT,51.9108,-176.679,-999
