OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,ELEVATION,ICAO_ID,TYPE_CODE,SERVCITY,STATE,COUNTRY,OPERSTATUS,PRIVATEUSE,IAPEXISTS,DODHIFLIP,FAR91,FAR93,MIL_CODE,AIRANAL,US_HIGH,US_LOW,AK_HIGH,AK_LOW,US_AREA,PACIFIC
11,2C8B7528-C454-4E05-ADEB-95C97327C0A0,5A8,Aleknagik /New,59-16-57.2000N,158-37-04.3200W,63,,AD,ALEKNAGIK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
12,EA527207-EE57-4E6A-863D-605CFA1D51D3,4AK7,Aleknagik Mission Strip,59-16-51.3240N,158-35-49.9210W,150,,AD,ALEKNAGIK,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
13,B1FD2D53-992B-4DD4-B272-F07D86BA8405,6A8,Allakaket,66-33-06.6000N,152-37-19.8000W,441.1,PFAL,AD,ALLAKAKET,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,CONDITIONAL,0,0,1,1,0,0
14,D8C863A6-4548-4C0D-B257-BE898E5E338B,AFM,Ambler,67-06-22.3220N,157-51-25.7610W,292.6,PAFM,AD,AMBLER,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
15,480EB429-A082-44D1-9AFA-3B817200BD30,80A,American Creek,65-06-14.3350N,151-10-38.0400W,513,,AD,AMERICAN CREEK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
16,68F26B27-8421-4403-936D-93FB092E4899,AK81,Amook Bay,57-28-17.3770N,153-48-55.2980W,0,,SP,AMOOK BAY,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
17,569F20D9-24AD-40DB-A567-78B31DFFCF57,AKP,Anaktuvuk Pass,68-08-01.0000N,151-44-36.0000W,2106.3,PAKP,AD,ANAKTUVUK PASS,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
18,BC3FB71D-8FBB-45DD-8BCE-AE2333276A0D,CSR,Campbell Airstrip,61-09-31.3200N,149-46-50.2000W,286,,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,1,1,0,0
19,5D09E895-1187-4D4D-87BD-791CEEA5838D,AK38,Providence Hospital,61-11-20.5100N,149-49-18.5900W,140,,HP,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
20,EFE165A5-F552-4F56-9DF0-C074CEAEDE93,AA06,Sixmile Lake,61-17-23.0000N,149-48-22.0000W,85,,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
21,00C527EC-A14C-4680-8933-59FC7A8F1755,AA04,Viking,61-13-29.1900N,149-50-20.7400W,72,,HP,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
22,6BC28EA2-1C71-4616-97D6-F7D40BDC638E,2OK,Alaska Rgnl Hospital,61-12-45.7300N,149-49-35.7000W,137,,HP,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
23,34C073E9-BFF3-4CA6-BA78-3D5BBCA49C98,AK36,Point Mac,61-26-09.6700N,150-07-20.5000W,123,,AD,POINT MACKENZIE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
24,70E333B1-AF27-4835-8A5F-6C1C94685D02,AK82,Campbell Blm,61-09-22.0700N,149-47-32.2800W,235,,HP,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
25,EA5E2B24-43BE-4A5B-BA03-4E1F7414C91F,64AK,Carpentiers Strip,61-26-23.6800N,150-01-33.9600W,175,,AD,POINT MACKENZIE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
26,4318B9AE-C571-49BF-9FB5-E951A7202FEC,AK12,Flying Crown,61-06-23.7600N,149-51-51.3700W,150,,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
27,B091338B-141C-4523-8330-DA08826B2228,A13,Bold,61-20-28.8200N,148-59-55.9700W,900,,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
28,39B50599-6534-4E52-BDA7-6C8A645F3C1D,AK37,Point Mackenzie,61-14-58.0250N,150-02-08.0180W,72,,HP,POINT MACKENZIE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
29,CA90C6A3-90FD-4C04-8E4B-FD74F6A2BE05,ANC,Ted Stevens Anchorage Intl,61-10-26.7050N,149-59-53.2950W,151.4,PANC,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,0,1,0,0,1,CIVIL,NO OBJECTION,0,0,1,1,0,0
30,5A1DF744-0E16-4402-842D-3B664BA955AB,MRI,Merrill Fld,61-12-48.7622N,149-50-41.0069W,137.3,PAMR,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,0,1,0,0,1,CIVIL,NO OBJECTION,0,0,1,1,0,0
31,FC0BEEC4-8E4B-47DE-8DE4-BEFB30DD5DD5,33AA,Campbell Lake Spb,61-07-59.0200N,149-56-30.8400W,20,,SP,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
32,580545A5-09BD-4FE7-BC4B-278862D4AD7A,EDF,Elmendorf AFB,61-15-04.8715N,149-48-23.4924W,213,PAED,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,1,0,0,1,MIL,NO OBJECTION,0,0,1,1,0,0
33,351E4808-BE7F-42B4-84BE-684ED0059BFD,AK91,Elmendorf Hospital,61-14-07.3800N,149-44-57.3900W,228,,HP,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,1,MIL,NOT ANALYZED,0,0,0,1,0,0
34,AA363541-A462-4B2F-856B-4611B54D477D,6AK5,Fire Island,61-10-06.0140N,150-09-37.9930W,55,,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
35,C846683F-6FA0-40BD-9BD0-F26AFEE81DB3,9AK5,Sky Harbor,61-06-59.3300N,149-49-07.5700W,340,,AD,ANCHORAGE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
36,64268E97-3440-48AB-B1CB-854D60A1D5ED,FRN,Bryant AAF,61-15-57.2375N,149-39-11.9075W,386.8,PAFR,AD,FORT RICHARDSON(ANCHORAGE),AK,UNITED STATES,OPERATIONAL,1,0,0,0,1,MIL,NOT ANALYZED,0,0,1,1,0,0
37,AD1D9FBD-C521-48F5-B18D-9C38C7054863,2AK0,Mac Kenzie Country Arpk,61-15-21.1700N,149-58-28.7600W,120,,AD,POINT MACKENZIE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0
38,0C72321A-B031-4AD9-B791-01AE780ABF17,0AK9,Falcon Lake Strip,61-19-57.1800N,150-03-32.5900W,110,,AD,POINT MACKENZIE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
39,3D8493D7-C179-429C-9836-FFC8F5B59FFE,AK00,Anchor River Arpk,59-46-59.0000N,151-51-11.0000W,120,,AD,ANCHOR POINT,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
40,E4E55EA8-66BE-4080-BFF4-D4BCAFC39D57,00AK,Lowell Fld,59-56-56.0000N,151-41-32.0000W,252,,AD,ANCHOR POINT,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
41,9154FBBB-1EDC-46D8-A74C-51E0A073EEDE,AGN,Angoon,57-30-12.7990N,134-35-06.3380W,0,PAGN,SP,ANGOON,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
42,E7935C52-91CB-44C9-A3EE-161B1E35247C,ANI,Aniak,61-34-53.7490N,159-32-34.9540W,95.9,PANI,AD,ANIAK,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
43,58E8C717-5D65-4959-B3C0-5DF54CCA7706,ANN,Annette Island,55-02-32.2569N,131-34-15.2377W,119,PANT,AD,ANNETTE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
44,9EE07136-A478-4410-9F7E-604EE96EC993,Z43,Tamgas Harbor,55-04-04.7720N,131-33-25.0370W,0,,SP,ANNETTE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
45,903040B6-B962-4622-BA61-3754CF5F92E6,ANV,Anvik,62-38-50.4000N,160-11-24.2000W,297.3,PANV,AD,ANVIK,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
46,442D7C6A-E8A5-472C-BF0F-CF45E06EEAF3,K40,Anvik,62-39-22.4060N,160-12-19.6150W,52,,SP,ANVIK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
47,06838CEE-3614-430C-80A3-0D92D5DB65A9,ARC,Arctic Village,68-06-52.8100N,145-34-45.8950W,2092,PARC,AD,ARCTIC VILLAGE,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
48,0903F0CC-E601-488E-92BE-03D76AA630BC,AKA,Atka,52-13-14.1000N,174-12-22.3000W,55.2,PAAK,AD,ATKA,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NOT ANALYZED,0,0,1,1,0,0
49,3E7FEF08-5FD2-43D8-AD5D-E25F6A98C8A4,4A2,Atmautluak,60-52-04.4000N,162-16-27.4000W,19.4,,AD,ATMAUTLUAK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
50,BF8ECCDF-1ED2-45AC-89FE-5120C73AC6D2,ATK,Atqasuk Edward Burnell Sr Mem,70-28-01.6000N,157-26-08.4000W,101.3,PATQ,AD,ATQASUK,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NOT ANALYZED,0,0,1,1,0,0
51,B80A5BF5-9F1E-4CFA-AAF1-2F50D4F1B73D,ATU,Casco Cove CGS,52-49-57.1500N,173-10-31.9950E,88,PAAT,AD,ATTU,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,MIL,NOT ANALYZED,0,0,1,1,0,0
52,38542950-FA0F-4F0B-B64A-4D514CE124EE,BNF,Baranof Warm Springs Float and Seaplane Float,57-05-19.7730N,134-49-59.3090W,0,,SP,BARANOF,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
53,28BF17D3-A924-46F2-9230-4AB8A036C316,BRW,Wiley Post-Will Rogers Mem,71-17-05.5000N,156-46-06.9000W,48.9,PABR,AD,BARROW,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
54,2A702634-A58C-4708-AA2B-D4BB17E8B59E,BTI,Barter Island,70-06-47.2000N,143-39-13.0000W,55.1,PABA,AD,BARTER ISLAND,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NOT ANALYZED,0,0,1,1,0,0
55,8ADA92D4-A86D-46FC-90C8-0DD77A08D76F,BQV,Bartlett Cove,58-27-18.7480N,135-53-06.6120W,0,,SP,BARTLETT COVE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
56,EF70047D-004C-4350-B5A9-51D25B8E6E7D,Z47,Engstrom Fld,64-40-44.7250N,165-17-57.1250W,143,,AD,BASIN CREEK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
57,0C7602A4-08EF-4BFE-AA65-1075D855EBAF,AK02,Bear Creek 1,65-32-23.5920N,161-03-44.5600W,575,,AD,BEAR CREEK,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
58,FD85CB3B-92BF-4707-BB48-75679D0C829B,Z48,Bear Creek 3,63-34-17.7930N,156-08-38.5820W,740,,AD,BEAR CREEK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
59,2A6E79FE-8D6E-4B53-AE77-5AC1300B5D06,Z52,Johnsons Landing,56-02-12.0680N,160-15-58.3390W,130,,AD,BEAR LAKE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
60,2FCE989C-E4FA-469E-B292-276FB855191E,WBQ,Beaver,66-21-44.0000N,147-24-23.4000W,364.7,PAWB,AD,BEAVER,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
61,EDB97F34-CED9-4776-A5B2-AC40770BB43A,KBE,Bell Island Hot Springs,55-55-44.6810N,131-34-18.0860W,0,,SP,BELL ISLAND,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
62,E9437172-BF19-4102-80B4-FBCB363C15B8,BLG,Beluga,61-10-22.6628N,151-02-43.4987W,87.2,PABG,AD,BELUGA,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
63,C758F1C5-117A-4398-A013-6462CBC2CEDE,Z58,Hangar Lake,60-48-16.1500N,161-43-14.5000W,23,,SP,BETHEL,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
64,5E741FE5-4B25-4825-802B-784C4C991686,Z59,Bethel,60-46-55.2910N,161-44-35.2640W,15,,SP,BETHEL,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
65,C6ED3B28-0D5A-42D2-B3EC-4F17BE9A60FE,BET,Bethel,60-46-42.8000N,161-50-13.8000W,128.8,PABE,AD,BETHEL,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
66,DAA16906-CEB0-4CE9-85D5-7D2D84C2103B,BTT,Bettles,66-54-50.2000N,151-31-44.6000W,647.3,PABT,AD,BETTLES,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
67,F796B7A6-142D-4C5A-BA18-5BE87E34FE88,85AK,Marion,61-30-33.0000N,149-54-31.0000W,150,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0
68,E733F91E-4E75-4943-87C2-12BCDC2B4917,02AA,H & H Fld,61-30-24.0000N,149-54-43.0000W,160,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
69,1A25100F-C363-4F54-B458-AB0DFE81262E,AA01,West Beaver,61-35-05.8600N,149-50-47.5100W,215,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
70,9E7FD8B5-3676-4326-AE61-BDD7F5B14A8D,AA02,Horseshoe Lake,61-34-17.3300N,149-55-26.8000W,140,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
71,7DF95930-914D-4B4D-963E-45CB3D6BCBCA,86AK,Hoppe's,61-33-05.1500N,149-56-44.7000W,180,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
72,6438BE42-44A0-473B-A7CE-6DF1A2BB8692,91AK,Kucera,61-34-35.0000N,149-56-36.0000W,175,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
73,CE1F9910-0C5F-4654-B625-5829CD7FF957,20AK,Owen Fld,61-30-13.6400N,149-53-45.7600W,150,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
74,750D0831-5A67-4F74-9B29-B8E91687E946,AK86,Kramer,61-34-24.7400N,149-54-40.8600W,150,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
75,2CE0B4FF-84F1-4FF9-8546-7DD3034FFF4B,08AK,Fisher,61-34-10.7000N,149-43-27.9800W,200,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
76,F45C649D-AFA1-4FF9-B8CD-8C3AD4EB3501,09AK,West Beaver,61-35-21.7000N,149-50-50.4000W,228,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
77,37077D0B-387C-435D-B4A1-72EF1230F2EA,BGQ,Big Lake,61-32-04.8600N,149-48-45.1600W,157.5,PAGQ,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
78,BEAADED7-042C-4D08-BABA-40C8ABCF23C3,AK87,Team Levine,61-30-53.5000N,149-55-44.4400W,150,,HP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
79,0AFC0B69-4815-4AD9-8F6B-09ED873CE882,AK95,Twin Lake,61-34-13.3200N,149-46-44.5400W,185,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0
80,62BE96A0-3EE2-407B-9B92-597396EDA2B8,9AK7,Cubdivision,61-35-23.3900N,149-48-59.9800W,250,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
81,AA4012D1-562F-4CC1-930B-DE89BE3E772D,63AK,Kucera Residence,61-35-03.5900N,149-56-17.1600W,189,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
82,C1DD88FC-CDF5-4C43-9CE2-803255FFC838,D71,Beaver Lake,61-34-30.5000N,149-50-51.6000W,150,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
83,6DB30DD8-A40B-4DA5-B00A-E27580FD1838,68AK,Cowell's,61-30-59.6900N,149-55-51.8900W,142,,HP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
84,E7B4A7C5-4ACA-419A-AA47-A4D07DA38031,L95,Jones Landing,61-33-17.1800N,149-56-21.6100W,180,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
85,3F695548-75AF-49C7-ABDF-D1FDDE6217F5,AA07,Saddleback Island,61-31-17.6700N,149-55-37.7000W,150,,HP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
86,314657B6-F401-4525-B807-D307548836E1,95AK,Brown's Homestead,61-28-21.4300N,149-58-56.8900W,140,,AD,BIG LAKE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,CONDITIONAL,0,0,0,0,0,0
87,331F66E5-3241-47F3-AF42-415E684F9BB3,6A7,Brocker Lake,61-28-54.6200N,149-46-23.6800W,100,,SP,BIG LAKE,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
88,7C919E0F-BCF5-4AE8-B4EB-EC4C3C14D9F0,37AK,Big Mountain,59-21-40.4880N,155-15-31.7570W,663,PABM,AD,BIG MOUNTAIN,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,MIL,NO OBJECTION,0,0,1,1,0,0
89,C9BDC2A5-41C7-4E4D-8BD3-C452513D5D67,Z91,Birch Creek,66-16-28.1000N,145-49-05.5000W,439.8,,AD,BIRCH CREEK,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,1,1,0,0
90,C575EA73-B3E7-4996-A22C-F27DEABC8FD7,BCV,Birchwood,61-24-57.9196N,149-30-29.9021W,83,PABV,AD,BIRCHWOOD,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,1,1,0,0
91,65BDE39C-3F11-4DC1-BEA4-E58DD43FB8A5,5BK,Black Rapids,63-32-06.5270N,145-51-39.1900W,2125,,AD,BLACK RAPIDS,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
92,7EC44058-5626-4088-8B0F-0417876F10FD,AK97,Boswell Bay,60-25-23.0310N,146-08-45.2740W,230,,AD,BOSWELL BAY,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
93,1E2CEB56-A6F1-47FF-8850-BE0C2B39C08E,BYA,Boundary,64-04-41.8900N,141-06-48.1500W,2940,,AD,BOUNDARY,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
94,7AFC36AA-F7C4-40F9-B736-80562DB49E7E,KTS,Brevig Mission,65-19-52.8000N,166-27-56.6000W,38.1,PFKT,AD,BREVIG MISSION,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NOT ANALYZED,0,0,0,1,0,0
95,12253DDC-A180-4E3D-BB8D-E469AF0F2742,AK98,Buck Creek,65-38-19.2190N,167-29-08.9050W,560,,AD,BUCK CREEK,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,0,0,0
96,029F7803-E398-4739-AEBD-37A5B860FC89,BVK,Buckland,65-58-53.6000N,161-08-56.9000W,29,PABL,AD,BUCKLAND,AK,UNITED STATES,OPERATIONAL,0,1,0,0,0,CIVIL,NO OBJECTION,0,0,0,1,0,0
97,3DFABA4C-A123-4944-A701-163F4D27697A,AK75,Candle 2,65-54-27.5690N,161-55-34.7010W,15,,AD,CANDLE,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NOT ANALYZED,0,0,0,1,0,0
98,35CA1787-220D-4EFE-B589-AE0DA83D7531,TTW,Cantwell,63-23-28.3370N,148-57-20.2190W,2190,PATW,AD,CANTWELL,AK,UNITED STATES,OPERATIONAL,0,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
99,EFD429FB-A9AF-493B-B1E4-AEA68E876641,15AK,Golden North Airfield,63-22-14.3400N,148-51-01.2100W,2250,,AD,CANTWELL,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
100,C350A034-F637-421C-BF32-F4B21D99F17A,CDE,Cape Decision Lighthouse,56-00-07.6070N,134-08-07.2210W,34,,HP,CAPE DECISION,AK,UNITED STATES,OPERATIONAL,1,0,0,0,0,CIVIL,NO OBJECTION,0,0,0,0,0,0
